Schedule,Paragraph,Description,H-S Extra,Specific_HS,Units_HS,Ad_Valorem_HS,Extra,Specific_Geneva,Units_Geneva,Ad_Valorem_Geneva,Specific_Annecy,Units_Annecy,Ad_Valorem_Annecy,Specific_Torquay,Units_Torquay,Ad_Valorem_Torquay
1,,"Calcium, carbide",HS: Calcium oxalate 4 cents per pound,1,1,,,0.5,1,,,,,0.5,1,
1,17,"Calomel, corrosive sublimate, and other mercurial preparations",,22,1,25,,,,,22,1,15,22,1,15
1,18,Tetrachloroethane,HS: Carbon tetrachloride 1 cent per pound; Chloroform 4 cents per pound,,,30,,,,,,,,,,15
1,,Trichloroethylene,,,,30,,,,10,,,,,,7.5
1,19,"Casein or lactarene and mixtures of which casein or lactarene is the component material of chief value, nspf",,5.5,1,,,,,,2.75,1,,2.75,1,
1,20,"Chalk or whiting or Paris white: Dry, ground, or bolted",,1,1,,,0.1,1,,,,,0.1,1,
1,,Chalk or whiting or Paris white: Ground in oil (putty),,1,1,,,0.25,1,,,,,0.25,1,
1,,Chalk or whiting or Paris white: Precipitated,,,,25,,,,10,,,,,,10
1,,"Chalk or whiting or Paris white: Put up in the form of blocks, cubes, disks, or sticks, or otherwise, including billiard, red, and tailors' chalk, and manufactures of chalk nspf",,,,25,,,,12.5,,,,,,12.5
1,21,"Chemical compounds, mixtures, and salts, of which gold, platinum, rhodium, or silver constitutes the element of chief value","HS: paragraph 22 Chemical compounds, salts, and mixtures of bismuth 35%",,,25,,,,,,,,,,12.5
1,23,"Chemicals, drugs, medicinal and similar substances, whether dutiable or free, when imported in ampoules, capsules, jubes, lozenges, pills, tablets, troches, or similar forms, including powders put up in medicinal doses, shall be dutiable at not less than the following rates respectively: Haarlem oil","HS: Not less than 25%, no other differentiation",,,25,,,,,,,,,,7.5
1,,Other,,,,,,,,,,,,,,12.5
1,24,"All the following, when containing alcohol: Brewers' yeast containing not over 20% of alcohol",HS: no differentiation on the type of brewers blabla. I used uniform tax rate here.,20,1,25,,,,,,,,20,1,12.5
1,,"All the following, when containing alcohol: Extracts (not including flavoring extracts) and their combinations, containing of alcohol: Not over 20%",,20,1,25,,,,,,,,20,1,12.5
1,,"All the following, when containing alcohol: Extracts (not including flavoring extracts) and their combinations, containing of alcohol: Over 20% but not over 50%",,40,1,25,,,,,,,,40,1,12.5
1,,"All the following, when containing alcohol: Extracts (not including flavoring extracts) and their combinations, containing of alcohol: Over 50%",,80,1,25,,,,,,,,80,1,12.5
1,,"All the following, when containing alcohol: Flavoring extracts, and natural or synthetic fruit essences, esters, flavors, and oils; all the foregoing and their combinations, containing of alcohol: Not over 20%",,20,1,25,"Provided, That, whenever the foregoing products are subject to a Federal tax on the alcoholic content measured in whole or in part by the rate of an internal Federal tax imposed in respect of the alcohol containd in the like domestic products, the specific parts of the foregoing rate shall be reduced from 15 to 7.5 cents.",15,1,18,,,,15,1,9
1,,"All the following, when containing alcohol: Flavoring extracts, and natural or synthetic fruit essences, esters, flavors, and oils; all the foregoing and their combinations, containing of alcohol: Over 20% but not over 50%",,40,1,25,"Provided, That, whenever the foregoing products are subject to a Federal tax on the alcoholic content measured in whole or in part by the rate of an internal Federal tax imposed in respect of the alcohol containd in the like domestic products, the specific parts of the foregoing rate shall be reduced from 30 to 15 cents.",30,1,18,,,,30,1,9
1,,"All the following, when containing alcohol: Flavoring extracts, and natural or synthetic fruit essences, esters, flavors, and oils; all the foregoing and their combinations, containing of alcohol: Over 50%",,80,1,25,"Provided, That, whenever the foregoing products are subject to a Federal tax on the alcoholic content measured in whole or in part by the rate of an internal Federal tax imposed in respect of the alcohol containd in the like domestic products, the specific parts of the foregoing rate shall be reduced from 60 to 30 cents.",60,1,18,,,,60,1,9
1,24,"All the following, when containing alcohol: Medicinal compounds, mixtures, preparations, and salts, containing of alcohol: Not over 20%",,20,1,25,,20,1,12.5,,,,20,1,12.5
1,,"All the following, when containing alcohol: Medicinal compounds, mixtures, preparations, and salts, containing of alcohol: Over 20% but not over 50%",,40,1,25,,40,1,12.5,,,,40,1,12.5
1,,"All the following, when containing alcohol: Medicinal compounds, mixtures, preparations, and salts, containing of alcohol: Over 50%",,80,1,25,,80,1,12.5,,,,80,1,12.5
1,26,Chloral hydrate,HS: paragraph,,,35,,,,20,,,,,,17.5
1,,Glycerophosphoric acid and salts and compounds thereof,,,,35,,,,,,,17.5,,,17.5
1,,Thymol,"HS: diethylbarbituric acid and salts and compounds thereof, 2.5 dollars per pound; ethyl-hydrocupreine and salts and compounds thereof, 20 cents per ounce",,,35,Geneva: obtained or derived from eucalyptus oil.,,,17.5,,,,,,17.5
1,27.a.1.5,"Acetanilide not suitable for medicinal use, alphanaphthol, aminobenzoic acid, aminonaphthol, aminophenetole, aminophenol, aminoanthraquinone, aminosalicylic acid, aniline oil, aniline salt, anthraquinone, arsanilic acid, benzal chloride, benzaldehyde not suitable for medicinal use, benzanthrone, benzidine, benzidine sulfate, benzoic acid not suitable for medicinal use, benzoquinone, benzoyl chloride, benzyl chloride, benzylethylaniline, beta-naphthol not suitable for medicinal use, bromobenzene, carbazole having a purity of 65% or more, chlorobenzene, chlorophthalic acid, cinnamic acid, cumidine, dehydrothiotoluidine, diaminostilbene, dianisidine, dichlorophthalic acid, dihydroxynaphthalene, dimethylaminophenol, dimethyl aniline, dimethylphenylbenzylammonium hydroxide, dimethylphenylenediamine, dinitrobenzene, dinitrochlorobenzene, dinitronaphthalene, dinitrophenol, dinitrotoluene, diphenylamine, hydroxyphenylarsinic acid, metanilic acid, methylanthraquinone, naphthylamine, naphthylenediamine, nitroaniline, nitroanthraquinone, nitrobenzaldehyde, nitrobenzene, nitronaphthalene, nitrophenol, nitrophenylenediamine, nitrosodimethylaniline, nitrotoluene, nitrotoluylenediamine, phenylenediamine, phenylglycine, phenylglycineortho-carboxylic acid, phenylhydrazine, phenylnaphthylamine, phthalic acid, phthalimide, quinaldine, quinoline, resorcinol not suitable for medicinal use, salicylic acid and its salts not suitable for medicinal use, sulfanilic acid, tetrachlorophthalic acid, tetramethyldiaminobenzophenone, tetramethyldiaminodiphenylmethane, thiocarbanilide, thiosalicylic acid, tolidine, toluene sulfochloride, toluene sulfonamide, toluidine, tolylenediamine, tribromophenol, and xylidine; all the foregoing, whether obtained, derived, or manufactured from coal tar or other source",HS: no differentiation,7,1,40,,,,,,,,3.5,1,25
1,,"Anthracene having a purity of 30% or more, whether obtained, derived, or manufactured from coal tar or other source",,7,1,40,,,,,,,,3.5,1,20
1,,"Naphthalene which, after the removal of all water, has a solidifying point of 79 degrees centigrade or over, whether obtained, derived, or manufactured from coal tar or other source",,7,1,40,,1.75,1,10,,,,1.75,1,10
1,,"Phthalic anhydride, whether obtained, derived, or manufactured from coal tar or other source",,7,1,40,,3.5,1,20,,,,3.5,1,20
1,27.a.2.5,"Distillates (except those provided for in paragraph 27(b), Tariff Act of 1930) of blast-furnace tar, coal tar, oil-gas tar, or water-gas tar, which on being subjected to distillation yield in the portion distilling below 190 degrees centigrade a quantity of tar acids equal to or more than 5% of the original distillate, or which on being subjected to distillation yield in the portion distilling below 215 degrees centigrade a quantity of tar acids equal to or more than 75% of the original distillate: Metacresol, orthocresol, and paracresol, all the foregoing having a purity of 75% or more but under 90%, and metaparacresol having a purity of 75% or more",,7,1,40,,1.75,1,10,,,,1.75,1,10
1,,"Distillates (except those provided for in paragraph 27(b), Tariff Act of 1930) of blast-furnace tar, coal tar, oil-gas tar, or water-gas tar, which on being subjected to distillation yield in the portion distilling below 190 degrees centigrade a quantity of tar acids equal to or more than 5% of the original distillate, or which on being subjected to distillation yield in the portion distilling below 215 degrees centigrade a quantity of tar acids equal to or more than 75% of the original distillate: Other",,7,1,40,,3.5,1,20,,,,3.5,1,20
1,27.a.3.5,"Products (except products chiefly used as assistants in preparing or finishing textiles), by whatever name known, which are similar to any product provided for in paragraph 27 or 1651, Tariff Act of 1930, and which are obtained, derived, or manufactured in whole or in part from any product provided for in either of said paragraphs: Azo salts, fast color bases, fast color salts, and Naphthol AS and its derivatives",,7,1,40,,,,,,,,3.5,1,20
1,,"Products (except products chiefly used as assistants in preparing or finishing textiles), by whatever name known, which are similar to any product provided for in paragraph 27 or 1651, Tariff Act of 1930, and which are obtained, derived, or manufactured in whole or in part from any product provided for in either of said paragraphs: Other",,7,1,40,,,,,,,,3.5,1,25
1,27.a.4.5,"Mixtures, including solutions, consisting in whole or in part of any product provided for in paragraph 27(a)(1), (2), or (3), Tariff Act of 1930 (except medicinal soaps, sheep dip, and products chiefly used as assistants in preparing or finishing textiles)",,7,1,40,,,,,,,,3.5,1,25
1,27.b,"Metacresol, orthocresol, and paracresol, all the foregoing having a purity of 90% or more",,3.5,1,20,,1.75,1,10,,,,1.75,1,10
1,,Cresylic acid which on being subjected to distillation yields in the portion distilling below 215 degrees centigrade a quantity of tar acids equal to or more than 75% of the original distillate,HS: 27. c & 27.d have no exact tax rate,3.5,1,20,,1.75,1,10,,,,1.75,1,10
1,28.a,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Acetanilide suitable for medicinal use, acetphenetidine, acetylsalicylic acid, antipyrine, benzaldehyde suitable for medicinal use, benzoic acid suitable for medicinal use, beta-naphthol suitable for medicinal use, guaiacol and its derivatives, phenolphthalein, resorcinol suitable for medicinal use, salicylic acid and its salts, suitable for medicinal use, salol, and other medicinals: Diethylaminoacetoxylidide, including xylocaine","HS: no further differentiation, all the paragraph 28 a items are under a uniform tax rate.",7,1,45,,,,,3.5,1,22.5,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Acetanilide suitable for medicinal use, acetphenetidine, acetylsalicylic acid, antipyrine, benzaldehyde suitable for medicinal use, benzoic acid suitable for medicinal use, beta-naphthol suitable for medicinal use, guaiacol and its derivatives, phenolphthalein, resorcinol suitable for medicinal use, salicylic acid and its salts, suitable for medicinal use, salol, and other medicinals: Other (except 2-Benzyl-4, 5-imidazoline hydrochloride, methylphenethylhydantoin, phenylbenzylaminoethyl imidazoline hydrochloride, and all other medicinals derived from imidazoline or hydantoin","HS: 28.b Synthetic indigo""colour Index No. 1177"" and sulphur black ""Colour Index No.978"" 3 cents per pound and 20%",7,1,45,,,,,,,,3.5,1,25
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Ink powders",,7,1,45,,,,,,,,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Picric acid, trinitrotoluene, and other explosives (except smokeless powders)",,7,1,45,,3.5,1,22.5,,,,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Saccharin",,7,1,45,,3.5,1,22.5,,,,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Sodium benzoate",,7,1,45,,,,,,,,3.5,1,25
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Styrene, not marketable as cosmetics, perfumery, or toilet preparations, and not mixed, not compounded, and not containing alcohol",,7,1,45,,,,,,,,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Synthetic phenolic resin and all resin-like products, whether in a liquid, semi-solid, or solid condition",,7,1,45,,,,,,,,3.5,1,22.5
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Natural guaiacol and its derivatives",,7,1,45,,,,,,,,3.5,1,25
1,,"All the following when obtained, derived, or manufactured in whole or in part from any product provided for in paragraph 27 or 1651, Tariff Act of 1930: Vanillin, from whatever source obtained, derived, or manufactured","HS: more subparagraphs are listed, but they have no exact tax rate",7,1,45,,,,,,,,3.5,1,22.5
1,29,Cobalt linoleate and cobalt oxide,,20,1,,,10,1,,,,,5,1,
1,,Cobalt sulphate,HS: sulphate and linoleate 10 cents per pound,,,30,,5,1,,,,,2.5,1,
1,30,"Collodion and other liquid solutions of pyroxylin, of other cellulose esters or ethers, or of cellulose",,30,1,,,,,,,,,15,1,
1,31.a.1,"Cellulose acetate and compounds, combinations, or mixtures containing cellulose acetate: In blocks, briquets, flakes, powder, rods, sheets, tubes, or other forms, whether or not colloided, and waste wholly or in chief value of cellulose acetate; all the foregoing not made into finished or partly finished articles: Forms wholly or in chief value of acrylic resins","HS: there is no differentiation under subparagraphs, so I used uniform tax rate for the subparagraphs",,,50,,,,,,,,25,1,
1,,"Cellulose acetate and compounds, combinations, or mixtures containing cellulose acetate: In blocks, briquets, flakes, powder, rods, sheets, tubes, or other forms, whether or not colloided, and waste wholly or in chief value of cellulose acetate; all the foregoing not made into finished or partly finished articles: Other",,,,50,,,,,,,,12.5,1,
1,31.a.2,"Cellulose acetate and compounds, combinations, or mixtures containing cellulose acetate: Made into finished or partly finished articles of which any of the foregoing is the component material of chief value, and nspf",,,,80,,,,,,,,,,20
1,31.b.1,"Compounds of cellulose (except cellulose acetate, but including pyroxylin and other cellulose esters and ethers), and compounds, combinations, or mixtures of which any such compound is the component material of chief value: In blocks, briquets, flakes, powder, rods, sheets, tubes, or other forms, whether or not collcided, not made into finished or partly finished articles: Transparent sheets over 0.003 but not over 0.032 inch thick",,45,1,,,,,,,,,22.5,1,
1,,"Compounds of cellulose (except cellulose acetate, but including pyroxylin and other cellulose esters and ethers), and compounds, combinations, or mixtures of which any such compound is the component material of chief value: In blocks, briquets, flakes, powder, rods, sheets, tubes, or other forms, whether or not collcided, not made into finished or partly finished articles: Other",,45,1,,,,,,,,,20,1,
1,31.b.2,"Compounds of cellulose (except cellulose acetate, but including pyroxylin and other cellulose esters and ethers), and compounds, combinations, or mixtures of which any such compound is the component material of chief value: Finished or partly finished articles in chief value of any of the foregoing, nspf: Made in chief value from transparent bands, sheets, or strips not over 0.003 inch thick",,,,60,,,,,,,,,,25
1,,"Compounds of cellulose (except cellulose acetate, but including pyroxylin and other cellulose esters and ethers), and compounds, combinations, or mixtures of which any such compound is the component material of chief value: Finished or partly finished articles in chief value of any of the foregoing, nspf: Sponges",,,,60,,,,,,,,,,45
1,,"Compounds of cellulose (except cellulose acetate, but including pyroxylin and other cellulose esters and ethers), and compounds, combinations, or mixtures of which any such compound is the component material of chief value: Finished or partly finished articles in chief value of any of the foregoing, nspf: Other",,,,60,,,,,,,,,,30
1,31.c,"Bands, sheets, and strips (whether known as cellophane or by any other name whatsoever), over 1 inch wide but not over 0.003 inch thick, made by any artificial process from cellulose, a cellulose hydrate, a compound of cellulose (other than cellulose acetate), or a mixture containing any of the foregoing, by solidification into bands, sheets, or strips",,,,45,,,,,,,,,,22.5
1,32,"Compounds of cellulose, known as vulcanized or hard fiber, wholly or in chief value of cellulose",,,,30,,,,,,,10,,,10
1,33,"Compounds of casein, known as galalith or by any other name: In blocks, rods, sheets, tubes, or other forms, not made into finished or partly finished articles",,25,1,,,12.5,1,,,,,12.5,1,
1,,"Compounds of casein, known as galalith or by any other name: Made into finished or partly finished articles of which any of the foregoing is the component material of chief value, nspf",,,,30,,20,1,25,,,,20,1,25
1,34,"Drugs, such as barks, beans, berries, buds, bulbous roots, bulbs, dried fibers, dried insects, excrescences, flowers, fruits, grains, herbs, leaves, lichens, mosses, roots, seeds (aromatic, not garden seeds), seeds of morbid growth, stems, vegetables, weeds, and other drugs of animal or vegetable origin; all the foregoing which are natural and uncompounded drugs, not edible, and nspf, but which are advanced in condition or value by chipping, crushing, grinding, shredding, or any other process or treatment whatever beyond that essential to the proper packing of the drugs and the prevention of decay or deterioration pending manufacture, and not containing alcohol",,,,10,,,,5,,,,,,5
1,35,"All the following which are natural and uncompounded, but which are advanced in condition or value by chipping, crushing, grinding, shredding, or any other process or treatment whatever beyond that essential to proper packing and the prevention of decay or deterioration pending manufacture, and not containing alcohol: Aconite, aloes, asafetida, cocculus indicus, ipecac, jalap, and manna; marshmallow or althea root, leaves, and flowers; and mate",,,,10,,,,,,,,,,5
1,,"All the following which are natural and uncompounded, but which are advanced in condition or value by chipping, crushing, grinding, shredding, or any other process or treatment whatever beyond that essential to proper packing and the prevention of decay or deterioration pending manufacture, and not containing alcohol: Barbasco or cube root; derris, tube, or tuba root; and pyrethrum or insect flowers",,,,10,,,,,,,,,,2.5
1,36,Coca leaves,HS: digitalis 20%,10,1,,,,,,,,,2.5,1,
1,37,Esters and ethers not containing over 10% of alcohol: Amyl acetate,,7,1,,,2,1,,,,,2,1,
1,,Esters and ethers not containing over 10% of alcohol: Butyl acetate,,7,1,,,3.5,1,,,,,3.5,1,
1,,Esters and ethers not containing over 10% of alcohol: Diethyl sulphate and dimethyl sulphate,,,,25,,,,,,,,,,12.5
1,,Esters and ethers not containing over 10% of alcohol: Ethyl acetate,,3,1,,,1.5,1,,,,,1.5,1,
1,,Esters and ethers not containing over 10% of alcohol: Ethyl chloride,,15,1,,,,,,,,,7.5,1,
1,,Esters and ethers not containing over 10% of alcohol: Ethyl ether,,4,1,,,,,,,,,2,1,
1,,"Esters and ethers not containing over 10% of alcohol: Other, nspf",,,,25,,,,,,,,,,12.5
1,38,"Decoctions, extracts, and preparations of vegetable origin used for coloring, dyeing, staining, or tanning, not containing alcohol: Chestnut, chlorophyll, cutch, divi-divi, fustic, hemlock, mangrove, myrobalan, Persian berry, safflower, saffron, saffron cake, sumac, and wattle","HS: no diffferentiation, I used a uniform tax rate",,,15,,,,7.5,,,,,,7.5
1,38,"Decoctions, extracts, and preparations of vegetable origin used for coloring, dyeing, staining, or tanning, not containing alcohol: logwood",,,,15,Geneva: Separates logwood from the long list of product.,,,10,,,,,,7.5
1,,"Decoctions, extracts, and preparations of vegetable origin used for coloring, dyeing, staining, or tanning, not containing alcohol: Valonia",,,,15,,,,,,,3.75,,,3.75
1,,"Decoctions, extracts, and preparations of vegetable origin used for coloring, dyeing, staining, or tanning, not containing alcohol: Other, nspf",,,,15,,,,7.5,,,,,,7.5
1,39,"Flavoring extracts and natural and synthetic fruit essences, esters, flavors, and oils, not containing alcohol and nspf",,,,25,,,,10,,,,,,7.5
1,40,Formaldehyde solution or formalin,,1.75,1,,,,,,,,,0.875,1,
1,,Hexamethylenetetramine,,11,1,,,5.5,1,,,,,5.5,1,
1,,Solid formaldehyde or paraformaldehyde,,8,1,,,,,,,,,4,1,
1,41,Agar agar,,,,25,,,,,,,,,,18
1,,Casein glue,,,,30,,,,,,,,,,15
1,,"Edible gelatin, valued per pound: Under 40 cents",,5,1,20,,2.5,1,10,,,,2,1,10
1,,"Edible gelatin, valued per pound: 40 cents or more but not over 80 cents",,7,1,20,,3.5,1,10,,,,3.5,1,10
1,,"Edible gelatin, valued per pound: Over 80 cents",HS: only higher than 40,7,1,20,,,,,,,,5,1,15
1,,"Gelatin, nspf, valued per pound: Under 40 cents",,2,1,25,,1.25,1,10,,,,1.25,1,10
1,,"Gelatin, nspf, valued per pound: 40 cents or more",,8,1,25,,4,1,12.5,,,,4,1,12.5
1,,"Glue, nspf, valued per pound: Under 40 cents: Of vegetable origin","HS: no differentiation on glue value or size, so I used uniform tax rate here",,,25,,1,1,12.5,,,,1,1,12.5
1,,"Glue, nspf, valued per pound: Under 40 cents: Of animal origin",,,,25,,2.5,1,10,,,,2,1,10
1,,"Glue, nspf, valued per pound: 40 cents or more",,,,25,,4,1,12.5,,,,4,1,12.5
1,,"Giue size and fish glue, nspf, valued per pound: Under 40 cents",,,,25,,0.5,1,7.5,,,,0.5,1,7.5
